idx,transition,original_width,original_height,input_png,output_png,mask_png,original_dng,exr_1,exr_2,tokenlight_png,scribblelight_png
0,ON,8064,6048,Input/IMG_CS1_5018_IMG_CS1_5017_input0.png,Output/IMG_CS1_5018_IMG_CS1_5017.png,Masks/IMG_CS1_5017.png,Originals/IMG_CS1_5018.DNG,Exrs/IMG_CS1_5018.exr,Exrs/IMG_CS1_5017.exr,TokenLight/IMG_CS1_5018_IMG_CS1_5017.png,ScribbleLight/IMG_CS1_5018_IMG_CS1_5017.png
1,ON,8064,6048,Input/IMG_CS1_4997_IMG_CS1_4996_input0.png,Output/IMG_CS1_4997_IMG_CS1_4996.png,Masks/IMG_CS1_4996.png,Originals/IMG_CS1_4997.DNG,Exrs/IMG_CS1_4997.exr,Exrs/IMG_CS1_4996.exr,TokenLight/IMG_CS1_4997_IMG_CS1_4996.png,ScribbleLight/IMG_CS1_4997_IMG_CS1_4996.png
2,ON,4032,3024,Input/IMG_CS1_4944_IMG_CS1_4943_input0.png,Output/IMG_CS1_4944_IMG_CS1_4943.png,Masks/IMG_CS1_4943.png,Originals/IMG_CS1_4944.DNG,Exrs/IMG_CS1_4944.exr,Exrs/IMG_CS1_4943.exr,TokenLight/IMG_CS1_4944_IMG_CS1_4943.png,ScribbleLight/IMG_CS1_4944_IMG_CS1_4943.png
3,ON,4032,3024,Input/IMG_CS2_5108_IMG_CS2_5106_input0.png,Output/IMG_CS2_5108_IMG_CS2_5106.png,Masks/IMG_CS2_5106.png,Originals/IMG_CS2_5108.DNG,Exrs/IMG_CS2_5108.exr,Exrs/IMG_CS2_5106.exr,TokenLight/IMG_CS2_5108_IMG_CS2_5106.png,ScribbleLight/IMG_CS2_5108_IMG_CS2_5106.png
4,ON,8064,6048,Input/IMG_CS2_5133_IMG_CS2_5134_input0.png,Output/IMG_CS2_5133_IMG_CS2_5134.png,Masks/IMG_CS2_5134.png,Originals/IMG_CS2_5133.DNG,Exrs/IMG_CS2_5133.exr,Exrs/IMG_CS2_5134.exr,TokenLight/IMG_CS2_5133_IMG_CS2_5134.png,ScribbleLight/IMG_CS2_5133_IMG_CS2_5134.png
5,OFF,6048,8064,Input/IMG_CS1_4980_IMG_CS1_4981_input0.png,Output/IMG_CS1_4980_IMG_CS1_4981.png,Masks/IMG_CS1_4980.png,Originals/IMG_CS1_4980.DNG,Exrs/IMG_CS1_4980.exr,Exrs/IMG_CS1_4981.exr,TokenLight/IMG_CS1_4980_IMG_CS1_4981.png,ScribbleLight/IMG_CS1_4980_IMG_CS1_4981.png
6,OFF,3024,4032,Input/IMG_CS1_4965_IMG_CS1_4968_input0.png,Output/IMG_CS1_4965_IMG_CS1_4968.png,Masks/IMG_CS1_4965.png,Originals/IMG_CS1_4965.DNG,Exrs/IMG_CS1_4965.exr,Exrs/IMG_CS1_4968.exr,TokenLight/IMG_CS1_4965_IMG_CS1_4968.png,ScribbleLight/IMG_CS1_4965_IMG_CS1_4968.png
7,OFF,8064,6048,Input/IMG_CS2_5097_IMG_CS2_5096_input0.png,Output/IMG_CS2_5097_IMG_CS2_5096.png,Masks/IMG_CS2_5097.png,Originals/IMG_CS2_5097.DNG,Exrs/IMG_CS2_5097.exr,Exrs/IMG_CS2_5096.exr,TokenLight/IMG_CS2_5097_IMG_CS2_5096.png,ScribbleLight/IMG_CS2_5097_IMG_CS2_5096.png
8,ON,8064,6048,Input/IMG_CS1_5013_IMG_CS1_5014_input0.png,Output/IMG_CS1_5013_IMG_CS1_5014.png,Masks/IMG_CS1_5014.png,Originals/IMG_CS1_5013.DNG,Exrs/IMG_CS1_5013.exr,Exrs/IMG_CS1_5014.exr,TokenLight/IMG_CS1_5013_IMG_CS1_5014.png,ScribbleLight/IMG_CS1_5013_IMG_CS1_5014.png
9,ON,8064,6048,Input/IMG_CS1_5001_IMG_CS1_4999_input0.png,Output/IMG_CS1_5001_IMG_CS1_4999.png,Masks/IMG_CS1_4999.png,Originals/IMG_CS1_5001.DNG,Exrs/IMG_CS1_5001.exr,Exrs/IMG_CS1_4999.exr,TokenLight/IMG_CS1_5001_IMG_CS1_4999.png,ScribbleLight/IMG_CS1_5001_IMG_CS1_4999.png
