idx,transition,tokenlight_ssim,tokenlight_psnr,tokenlight_lpips,scribblelight_ssim,scribblelight_psnr,scribblelight_lpips
0,ON,0.8235246539115906,21.484901428222656,0.24892771244049072,0.3117438554763794,14.415783882141113,0.6718801259994507
1,ON,0.7771294116973877,19.319746017456055,0.26177942752838135,0.41033488512039185,14.074979782104492,0.626633882522583
2,ON,0.825824499130249,19.157360076904297,0.33854538202285767,0.509981632232666,16.949562072753906,0.6325680017471313
3,ON,0.774267852306366,16.193893432617188,0.43593910336494446,0.5137889981269836,12.489145278930664,0.6881364583969116
4,ON,0.9109093546867371,19.19210433959961,0.18704438209533691,0.44760680198669434,12.346640586853027,0.5763768553733826
5,OFF,0.9277345538139343,22.47806167602539,0.2522817850112915,0.6789872050285339,14.97885799407959,0.6527582406997681
6,OFF,0.8668011426925659,21.874483108520508,0.39511892199516296,0.5477422475814819,18.530139923095703,0.6402839422225952
7,OFF,0.8416532278060913,18.95734405517578,0.21326449513435364,0.42359644174575806,16.082365036010742,0.6198405623435974
8,ON,0.910243034362793,20.260953903198242,0.14140117168426514,0.513500988483429,15.829926490783691,0.5942758917808533
9,ON,0.8707684874534607,22.22224235534668,0.21895170211791992,0.5330514907836914,13.839216232299805,0.5902348160743713
10,ON,0.8338240385055542,17.195940017700195,0.1804163157939911,0.6189547777175903,15.653514862060547,0.5544400811195374
11,ON,0.8120729923248291,17.7275333404541,0.4484662413597107,0.5189584493637085,12.681902885437012,0.6985270977020264
12,ON,0.7847320437431335,14.667023658752441,0.3607674241065979,0.550361692905426,11.176346778869629,0.6756179928779602
13,OFF,0.8748962879180908,18.122074127197266,0.26748567819595337,0.6707624793052673,15.524083137512207,0.6134944558143616
14,OFF,0.876781165599823,23.091659545898438,0.34365758299827576,0.596796452999115,17.590391159057617,0.6526519656181335
15,OFF,0.9447885751724243,21.958576202392578,0.321483314037323,0.7457897067070007,17.55958366394043,0.5851895213127136
16,ON,0.8600873351097107,20.33380126953125,0.16348376870155334,0.5292963981628418,15.678621292114258,0.5613319873809814
